,location_name,google_name,Location,Average User Rating,Total User Rating
1550,Casa Vieja LLC,N/A,N/A,N/A,N/A
1551,Cascade Brewing,Cascade Brewing Blending House,"{'lat': 45.4708563, 'lng': -122.7902691}",5,3
1552,Cascade Brewing Barrel House,N/A,N/A,N/A,N/A
1553,Cascade Brewing Blending House,Cascade Brewing Blending House,"{'lat': 45.4708563, 'lng': -122.7902691}",5,3
1554,Cascade Lakes Brewing Co,N/A,N/A,N/A,N/A
1555,Casey Brewing and Blending,Casey Brewing Barrel Cellar,"{'lat': 39.5157512, 'lng': -107.3196589}",4.7,77
1556,Castle Brewing Co,Castle Brewing Co.,"{'lat': 43.1776862, 'lng': -85.27277219999999}",4,857
1557,Castle Church Brewing Community,Castle Church Brewing Community,"{'lat': 28.4802467, 'lng': -81.29109679999999}",4.8,134
1558,Castle Danger Brewery,Castle Danger Brewery,"{'lat': 47.0195575, 'lng': -91.67343020000001}",4.7,564
1559,Castle Island Brewing Co,Castle Island Brewing Co.,"{'lat': 42.1689585, 'lng': -71.1924734}",4.8,237
1560,Castleburg Brewery,Castleburg Brewery and Taproom,"{'lat': 37.5639431, 'lng': -77.4591125}",4.6,96
1561,Casual Animal,Casual Animal Brewing Co,"{'lat': 39.092398, 'lng': -94.5797532}",4.7,221
1562,Catalina Brewing Company,Catalina Brewing Company,"{'lat': 32.3323163, 'lng': -111.0571353}",4.7,139
1563,Catalina Island Brew House,Catalina Island Brew House,"{'lat': 33.3434785, 'lng': -118.3255521}",4.6,229
1564,Catalyst Brewing Company,5168 Brewing,"{'lat': 40.7393554, 'lng': -96.64342870000002}",4.1,7
1565,Catawba Brewing Co,Catawba Brewing Company Charlotte,"{'lat': 35.2251354, 'lng': -80.82134239999999}",4.7,326
1566,Catawba Brewing Co Asheville,N/A,N/A,N/A,N/A
1567,Catawba Brewing Co Charlotte,Catawba Brewing Company Charlotte,"{'lat': 35.2251354, 'lng': -80.82134239999999}",4.7,326
1568,Catawba Island Brewing Company,Catawba Island Brewing Company,"{'lat': 41.5173301, 'lng': -82.8883896}",4.6,126
1569,Catfish Charlies Catfish Creek Brew Pub,Catfish Charlie's,"{'lat': 42.511885, 'lng': -90.6499994}",4.3,975
1570,Catskill Brewery,N/A,N/A,N/A,N/A
1571,Cave Brewing Co,Cave Brewing Company,"{'lat': 40.5924371, 'lng': -75.3976193}",4.5,38
1572,Cave Creek Beer Co,Cave Creek Beer Company,"{'lat': 33.82970299999999, 'lng': -111.9289069}",3.9,54
